Código del Proyecto/Requerimiento	Nombre del Proyecto/Requerimiento	Product Owner	Scrum Master	Origen del Requerimiento	Código de la Historia	Nombre de la Historia	Versión de la Historia	Fecha de Declaración	Prioridad	Estimación de Esfuerzo	Historia de Usuario Dependencia	Tipo de Dependencia	Declaración - Yo como	Declaración - Quiero	Declaración - Para	Criterios de Aceptación	Detalles de la Conversación
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Integración con SAP	HU11	Extraer datos de SAP	1.0	2026-08-13	Crítica	4	No aplica	Técnica	responsable de integración de datos	extraer los datos empresariales disponibles en SAP	alimentar el flujo de integración y análisis de JHOMERON	1. Dado que existe un mecanismo autorizado de acceso a SAP, cuando se ejecute la extracción, entonces debe obtener los datos configurados. | 2. Dado que SAP no esté disponible, entonces debe registrar el error y permitir identificar la falla.	La integración debe considerar las restricciones del entorno SAP y evitar instalar componentes no permitidos en SAP.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Integración y calidad de datos	HU12	Transformar datos empresariales	1.0	2026-08-19	Crítica	3	HU11	Datos	responsable de integración de datos	transformar y validar los datos obtenidos de SAP	obtener información consistente y apta para análisis	1. Dado que se reciben datos de SAP, cuando se ejecute la transformación, entonces debe aplicar las reglas de limpieza, normalización y validación. | 2. Dado que existan registros inválidos, entonces debe identificarlos y registrar el motivo.	Aplicar reglas ETL/ELT para limpieza, normalización, tipos de datos y validación.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Integración y calidad de datos	HU13	Cargar datos en BD	1.0	2026-08-27	Crítica	3	HU12	Datos	responsable de integración de datos	cargar los datos transformados en la base de datos	disponer de información actualizada para los dashboards	1. Dado que los datos fueron transformados, cuando se ejecute la carga, entonces debe almacenar los registros válidos en la BD de JHOMERON. | 2. Dado que se reprocese un lote, entonces no debe generar registros duplicados.	Usar una BD preparada para consulta por el backend y los dashboards; controlar duplicados y consistencia.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Procesamiento Batch	HU14	Ejecutar proceso Batch	1.0	2026-09-01	Alta	3	HU13	Técnica	operador del proceso de datos	ejecutar y controlar el proceso Batch de actualización	automatizar la actualización periódica de la información	1. Dado que el proceso Batch está configurado, cuando llegue el horario establecido, entonces debe ejecutarse automáticamente. | 2. Dado que finalice el proceso, entonces debe registrar estado, duración, cantidad procesada y errores.	Proceso desacoplado del backend principal, ejecutable de forma programada y con registro de cada corrida.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	MLOps y analítica predictiva	HU15	Preparar datos para ML	1.0	2026-09-08	Alta	3	HU13	Datos	analista de datos	preparar los datos históricos para Machine Learning	generar conjuntos confiables para entrenar modelos	1. Dado que existen datos históricos, cuando se ejecute la preparación, entonces debe limpiar, validar y separar los datos según la configuración del modelo. | 2. Dado que existan valores faltantes o inconsistentes, entonces debe aplicar la estrategia definida y registrar los cambios.	Preparar dataset histórico para entrenamiento, validación y pruebas, manteniendo trazabilidad de los conjuntos.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	MLOps y analítica predictiva	HU16	Generar variables predictivas	1.0	2026-09-10	Alta	2	HU15	Funcional	analista de datos	generar variables predictivas para los modelos	mejorar la capacidad predictiva de los modelos	1. Dado que el conjunto de datos está preparado, cuando se generen variables, entonces debe calcular las características definidas para el modelo. | 2. Dado que una variable no pueda calcularse, entonces debe registrar la causa sin detener innecesariamente el proceso.	Las variables deben quedar reproducibles para que entrenamiento e inferencia utilicen la misma lógica.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	MLOps y analítica predictiva	HU17	Predecir ventas	1.0	2026-09-24	Media	3	HU16	Funcional	gerente de ventas	obtener predicciones de ventas futuras	apoyar la planificación comercial y la toma de decisiones	1. Dado que existe un modelo aprobado y datos válidos, cuando solicite una predicción, entonces debe mostrar la estimación para el período consultado. | 2. Dado que no haya datos suficientes o un modelo válido, entonces debe informar que no puede generar la predicción.	La predicción debe integrarse al backend para ser consumida por el dashboard de gerencia.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	MLOps y analítica predictiva	HU18	Comparar modelos predictivos	1.0	2026-09-30	Alta	2	HU17	Funcional	analista de datos	comparar el desempeño de los modelos predictivos	seleccionar el modelo más adecuado para el negocio	1. Dado que existen modelos entrenados, cuando se comparen, entonces debe mostrar métricas obtenidas bajo condiciones equivalentes. | 2. Dado que se seleccione un modelo, entonces debe registrar cuál fue elegido y por qué.	Comparar métricas como MAE, RMSE u otras definidas por el proyecto antes de seleccionar el modelo.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	MLOps y analítica predictiva	HU19	Versionar modelos	1.0	2026-10-12	Alta	2	HU18	Funcional	analista de datos	versionar los modelos entrenados	mantener trazabilidad de los modelos utilizados	1. Dado que un modelo fue entrenado, cuando se registre, entonces debe asignar una versión y conservar sus métricas y metadatos. | 2. Dado que existan varias versiones, entonces debe permitir identificar cuál está activa.	Registrar versiones y metadatos mediante la estrategia de versionamiento definida para MLOps.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	MLOps y automatización	HU20	Automatizar entrenamiento	1.0	2026-10-19	Media	3	HU19	Técnica	responsable de MLOps	automatizar el entrenamiento de los modelos	mantener los modelos actualizados con mínima intervención manual	1. Dado que existe una configuración válida, cuando se active el entrenamiento, entonces el proceso debe ejecutarse automáticamente. | 2. Dado que el entrenamiento falle, entonces debe registrar el error y conservar el último modelo válido.	Automatizar el flujo de reentrenamiento cuando se cumplan las condiciones establecidas.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Monitoreo de modelos	HU21	Detectar Data Drift	1.0	2026-11-12	Media	2	HU20	Técnica	responsable de MLOps	detectar cambios relevantes en la distribución de los datos	identificar posibles degradaciones de los modelos	1. Dado que existe una referencia de datos histórica, cuando ingresen nuevos datos, entonces debe calcular las métricas de Data Drift configuradas. | 2. Dado que se supere el umbral definido, entonces debe generar una alerta para revisión.	Integrar monitoreo de drift y alertas para detectar cambios en los datos de entrada.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Inteligencia artificial para negocio	HU22	Interactuar con asistente virtual	1.0	2026-10-21	Alta	4	No aplica	No aplica	usuario de negocio	interactuar con un asistente virtual empresarial	obtener apoyo para consultar y comprender información empresarial	1. Dado que estoy autenticado, cuando envíe una pregunta, entonces el asistente debe responder utilizando información empresarial autorizada. | 2. Dado que no exista información suficiente, entonces debe indicarlo sin inventar datos.	Asistente integrado al entorno de Gerencia Hub para consultas y apoyo en la interpretación de información.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Inteligencia artificial para negocio	HU23	Consultar ventas mediante lenguaje natural	1.0	2026-10-27	Alta	3	HU22	Funcional	gerente o analista de ventas	consultar información de ventas mediante lenguaje natural	realizar consultas sin conocer la estructura de la base de datos	1. Dado que formule una pregunta sobre ventas, cuando la envíe, entonces el asistente debe interpretar período, filtros y métricas. | 2. Dado que la pregunta sea ambigua, entonces debe solicitar una aclaración antes de responder.	La IA debe traducir preguntas de negocio a consultas sobre datos autorizados y presentar resultados comprensibles.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Inteligencia artificial para negocio	HU24	Explicar indicadores	1.0	2026-11-03	Media	2	HU23	Funcional	gerente de ventas	solicitar explicaciones sobre los indicadores	comprender mejor las causas y significado de los resultados	1. Dado que visualizo un indicador, cuando solicite una explicación, entonces debe describir su significado y los factores disponibles que influyen en él. | 2. Dado que no existan datos suficientes para sustentar la explicación, entonces debe comunicar la limitación.	La explicación debe apoyarse en los datos visibles del dashboard y evitar afirmaciones sin respaldo.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Inteligencia artificial para negocio	HU25	Consultar datos empresariales mediante IA	1.0	2026-11-10	Media	3	HU24	Funcional	usuario de negocio	consultar información empresarial mediante IA	acceder a información empresarial de forma sencilla y controlada	1. Dado que tengo permisos, cuando realice una consulta empresarial mediante IA, entonces debe responder usando datos autorizados. | 2. Dado que solicite información restringida, entonces debe impedir el acceso y comunicar que no está autorizada.	Implementar control de acceso y uso de fuentes empresariales autorizadas para las respuestas de IA.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Contenido y documentación del producto	RNF01	Desarrollar articulo	1.0	2026-11-16	Media	2	No aplica	No aplica	administrador de contenidos	crear y editar artículos de documentación	mantener documentación útil para los usuarios del sistema	1. Dado que tengo permisos de edición, cuando cree o modifique un artículo, entonces debe permitir registrar título, contenido y estado. | 2. Dado que falte información obligatoria, entonces debe mostrar una validación antes de guardar.	Sección de documentación del producto para explicar módulos, procesos y uso de JHOMERON.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Contenido y documentación del producto	RNF02	Públicar articulo	1.0	2026-11-18	Media	1	RNF01	Funcional	administrador de contenidos	publicar artículos previamente aprobados	hacer disponible la documentación aprobada	1. Dado que un artículo está aprobado, cuando seleccione publicar, entonces debe cambiar a estado publicado y quedar disponible. | 2. Dado que un artículo no esté aprobado, entonces el sistema debe impedir su publicación.	La publicación debe respetar el flujo de aprobación definido para la documentación.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Usabilidad y accesibilidad	RNF03	Compatibilidad con dispositivos móviles	1.0	2026-11-19	Alta	2	No aplica	No aplica	usuario de JHOMERON	utilizar JHOMERON correctamente desde dispositivos móviles	mantener una experiencia de uso adecuada desde celulares y tablets	1. Dado que accedo desde un celular o tablet, cuando navegue por JHOMERON, entonces la interfaz debe adaptarse al tamaño de pantalla. | 2. Dado que utilice las funciones principales, entonces los controles y textos deben mantenerse utilizables y legibles.	Diseño responsive para las funcionalidades prioritarias sin cambiar la lógica del negocio.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Backend de negocio	HU26	Desarrollar API de negocio	1.0	2026-09-22	Crítica	5	HU13	Datos	desarrollador backend	exponer una API de negocio (Spring Boot) que sirva datos del Data Warehouse y valide permisos por rol	que el frontend consuma indicadores, ventas, clientes y catálogo con seguridad y trazabilidad	1. Dado que un usuario autenticado consume la API, cuando solicite un recurso, entonces debe validarse el token/rol y responderse solo con los datos autorizados. | 2. Dado que el frontend requiera indicadores del dashboard, cuando consuma el endpoint correspondiente, entonces debe responder con datos reales de dwh.* y no simulados. | 3. Dado que ocurra un error o un acceso no autorizado, entonces debe registrarse con trazabilidad y devolverse una respuesta clara.	Puente entre Angular, dwh.* y la seguridad. Hoy el dashboard de gerencia usa datos simulados porque falta esta capa. Debe reutilizar el rol de solo lectura (ai_readonly) sin ampliar permisos.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Inteligencia artificial para negocio	HU27	Conectar chat de Gerencia al AI Service real	1.0	2026-10-23	Alta	3	HU22	Funcional	gerente de JHOMERON	que el chat de Gerencia use el AI Service real y no datos simulados	obtener respuestas basadas en datos reales de ventas dentro del módulo de gerencia	1. Dado que envío una pregunta desde el módulo de Gerencia, cuando el AI Service responda, entonces el chat debe mostrar la respuesta con datos reales. | 2. Dado que el AI Service no esté disponible, entonces el chat debe indicar el estado sin romper la interfaz. | 3. Dado que la respuesta incluya un listado, entonces debe graficarse automáticamente como en el Asistente de Ventas IA.	Hoy el chat de Gerencia usa datos simulados; el Asistente de Ventas IA ya está conectado a http://localhost:8090/chat. Reutilizar el mismo contrato (chips, gráficos automáticos, auditoría en ai.consulta_log).
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Dashboard gerencial con datos reales	HU28	Visualizar ventas mensuales totales	1.0	2026-10-02	Crítica	2	HU26	Funcional	gerente de JHOMERON	ver el total de ventas mensuales reales en el dashboard de gerencia	reemplazar los valores de demostración por cifras reales del período	1. Dado que existen ventas en ai.v_ventas, cuando cargue el dashboard, entonces la tarjeta del KPI debe mostrar el total de ventas del período. | 2. Dado que cambie el período, entonces el valor debe actualizarse con los datos reales. | 3. Dado que no existan datos para el período, entonces debe mostrarse 0 o un estado vacío sin errores.	Reemplaza el KPI simulado (S/ 384,500). Requiere el endpoint del backend (HU26) para servir los datos de ai.v_ventas. Es la base de los demás widgets del dashboard.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Dashboard gerencial con datos reales	HU29	Visualizar ventas por departamento	1.0	2026-10-06	Alta	2	HU28	Funcional	gerente y analista de ventas	visualizar las ventas por departamento en el dashboard	identificar las zonas de mayor desempeño comercial	1. Dado que existe la vista ai.v_ventas_mensual_departamento, cuando cargue el dashboard, entonces debe mostrar el agregado por departamento. | 2. Dado que seleccione un período, entonces el gráfico (radar o barras) debe actualizarse con los datos reales. | 3. Dado que no existan datos, entonces debe mostrarse un estado vacío.	La vista agregada ya existe; falta el endpoint y el wiring al chart de radar/zona del frontend.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Dashboard gerencial con datos reales	HU30	Visualizar top productos por facturación	1.0	2026-10-08	Alta	2	HU28	Funcional	gerente y analista de ventas	ver el ranking de productos por facturación como gráfico fijo del dashboard	priorizar productos y detectar oportunidades de negocio	1. Dado que existen ventas, cuando cargue el widget, entonces debe mostrar el ranking de productos por importe. | 2. Dado que aplique un filtro, entonces el ranking debe reflejar los filtros activos. | 3. Dado que no existan datos, entonces debe mostrarse un estado vacío.	El Top productos ya se usa bajo demanda en el chat de ventas; falta exponerlo como chart fijo del dashboard consumiendo la API de negocio.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Dashboard gerencial con datos reales	HU31	Visualizar ticket promedio por cliente	1.0	2026-10-16	Media	2	HU28	Funcional	analista comercial	ver el ticket promedio por cliente en el período	valorar la calidad comercial de la cartera	1. Dado que existen ventas, cuando consulte el indicador, entonces debe calcular el promedio por cliente y mostrarlo. | 2. Dado que filtre por cliente o período, entonces el valor debe actualizarse. | 3. Dado que no existan datos, entonces debe mostrarse un estado vacío.	Agregación nueva: AVG(total_soles) por cliente en el período; la vista no existe todavía y debe crearse (p.ej. ai.v_ticket_promedio_cliente).
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	MLOps y validación del modelo	HU32	Realizar backtest multi-mes del modelo predictivo	1.0	2026-10-29	Alta	4	HU18	Funcional	analista de datos	revalidar el modelo con backtests mes a mes (entrenar hasta 2025-12-31 y predecir cada mes posterior)	confirmar consistencia del error y detectar estacionalidad o quiebres no capturados	1. Dado un modelo entrenado con datos hasta 2025-12-31, cuando se genere una predicción por cada mes siguiente, entonces debe compararse contra la venta real de ese mes. | 2. Dado que el error varíe por mes, entonces el reporte debe señalar los meses problemáticos. | 3. Dado que cambie la lógica de predicción, entonces el backtest y el servicio deben compartir el mismo módulo.	Hoy solo hay un backtest de un punto (agosto a septiembre). Reutilizar contexto_por_producto()/predecir_ventana() extrayéndolas a intelligence/ml/src/inference/predict_utils.py para que servicio y backtest no diverjan.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	MLOps y analítica predictiva	HU33	Exponer predicción de ventas en el AI Service	1.0	2026-11-05	Alta	3	HU32	Funcional	gerente de ventas	preguntar al asistente por ventas futuras y recibir la estimación del modelo ML	apoyar la planificación comercial dentro del mismo chat	1. Dado que el mejor modelo está registrado como Production en el Model Registry, cuando el asistente detecte una pregunta sobre fecha futura, entonces debe llamar a la tool predecir_ventas. | 2. Dado que el modelo no esté disponible o no haya datos suficientes, entonces debe informarlo sin romper el chat. | 3. Dado que la pregunta sea sobre histórico, entonces debe seguir usando la tool de SQL.	El LLM decide la herramienta por regla de prompt (fecha futura → ML; fecha pasada → SQL). Incluye promover el mejor modelo a Production y un baseline naive de referencia.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Integración y calidad de datos	HU34	Capturar costo y margen bruto desde SAP	1.0	2026-10-13	Media	3	HU11	Técnica	responsable de integración de datos	obtener el costo/COGS de los productos junto con las ventas	calcular el margen bruto operativo en los dashboards	1. Dado que SAP expone la información de costo, cuando se ejecute la extracción, entonces el SP y el reader deben incorporar el costo por línea. | 2. Dado que una línea no tenga costo definido, entonces debe registrarse sin costo sin invalidar la corrida. | 3. Dado que el dashboard consuma el margen, entonces debe mostrar el cálculo con datos reales.	Hoy ni VentaDTO ni staging.ventas traen costo. Bloqueada hasta confirmar que SAP Business One tiene la información y ampliar el SP_EXTRAER_VENTAS + reader + staging + dwh.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Integración y calidad de datos	HU35	Incorporar categoría de producto al ETL	1.0	2026-10-14	Media	2	HU11	Técnica	responsable de integración de datos	traer la categoría (familia de artículos OITB) en cada línea de venta	habilitar la distribución de ventas por categoría en el dashboard	1. Dado que se ejecute la extracción, entonces cada línea debe incluir la categoría del producto. | 2. Dado que el frontend pida la distribución por categoría, entonces el reporte debe agruparse correctamente. | 3. Dado que una línea no tenga categoría, entonces debe manejarse como categoría desconocida.	PROCESO_BATCH.md ya contempla OITB.ItmsGrpNam, pero el SP real no la expone ni VentaDTO la tiene. Mismo caso bloqueado que HU34: confirmar disponibilidad en SAP y ampliar el SP.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Inteligencia artificial para negocio	HU36	Consultar documentación empresarial con IA (RAG)	1.0	2026-11-13	Media	4	HU25	Funcional	usuario de negocio	preguntar al asistente sobre manuales y documentos empresariales citando la fuente	resolver dudas de procesos sin buscar manualmente en la documentación	1. Dado que existe documentación empresarial indexada, cuando pregunte por un tema, entonces el asistente debe responder citando la fuente. | 2. Dado que la pregunta se refiera a datos de ventas, entonces debe preferir la tool de SQL. | 3. Dado que no exista información suficiente, entonces debe indicarlo sin inventar.	RAG queda reservado para documentación no estructurada (PDFs, manuales); conecta con el document-explorer ya existente en el frontend. Fase futura.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Gestión comercial	HU37	Consultar catálogo y cotizar productos	1.0	2026-11-06	Alta	3	HU26	Funcional	usuario de ventas	consultar el catálogo de productos y generar cotizaciones	atender a los clientes con información comercial actualizada	1. Dado que consulto el catálogo, entonces debe mostrar productos con precios y condiciones provenientes del backend de negocio. | 2. Dado que arme una cotización, entonces debe permitir agregar líneas, aplicar condiciones de pago y emitir el documento. | 3. Dado que se genere la cotización, entonces debe quedar registrada con trazabilidad.	El área de Ventas ya contempla catálogo y cotizador en el frontend; falta conectarlos a la API de negocio (HU26) y definir su persistencia.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Gestión de documentación del proyecto	HU38	Gestionar la documentación del proyecto y registrar horas	1.0	2026-08-01	Media	3	No aplica	No aplica	equipo de desarrollo y liderazgo de JHOMERON	mantener actualizados los documentos de gestión del proyecto (alcance, avances, decisiones y horas invertidas)	tener trazabilidad del trabajo y control de horas sin mezclarlas con las historias de negocio	1. Dado que se actualice la documentación del proyecto (README, TODO, PROCESO_BATCH, backlog, diagramas, actas), cuando se cierre un ciclo o entrega, entonces debe registrarse la actualización y las horas invertidas. | 2. Dado que se complete un ciclo de trabajo, entonces las horas dedicadas a la gestión documental deben cargarse en esta historia. | 3. Dado que el documento cambie de versión, entonces debe quedar registro del cambio (fecha y contenido).	Estimación referencial: las horas reales invertidas en actualizar y gestionar la documentación (incluido este backlog) se cargan en esta historia para el control de horas, evitando que distorsionen la estimación de las historias funcionales.
